Order date  Order ID 	Amount  	Status
13/02/2021	1	33750.0000	COMPLETED
2021/02/13	15	17100.0000	COMPLETED
2021/02/13	16	7960.0000	COMPLETED
2021/02/13	17	18150.0000	COMPLETED
2021/02/13	18	18150.0000	COMPLETED
2021/02/13	19	33750.0000	COMPLETED
2021/02/13	20	18150.0000	COMPLETED
2021/02/13	21	33750.0000	COMPLETED
2021/02/13	22	25650.0000	EXCHANGED
2021/02/13	23	25650.0000	EXCHANGED
2021/02/13	24	35950.0000	EXCHANGED
2021/02/16	25	20750.0000	EXCHANGED
2021/02/16	26	2500.0000	EXCHANGED
2021/02/16	27	10400.0000	REFUNDED
2021/02/17	28	2500.0000	COMPLETED
2021/02/17	29	17250.0000	COMPLETED
2021/02/17	30	82650.0000	COMPLETED
2021/02/17	31	19600.0000	EXCHANGED
2021/02/17	32	11300.0000	COMPLETED
2021/02/17	33	32300.0000	COMPLETED
2021/02/17	34	1680.0000	COMPLETED
2021/02/17	35	13950.0000	COMPLETED
2021/02/17	36	3360.0000	EXCHANGED
2021/02/17	37	4600.0000	EXCHANGED
2021/02/17	38	11300.0000	EXCHANGED
2021/02/17	39	65400.0000	COMPLETED
2021/02/17	40	28800.0000	COMPLETED
2021/02/17	41	7600.0000	COMPLETED
2021/02/17	42	16950.0000	COMPLETED
2021/02/17	43	36200.0000	COMPLETED
2021/02/17	44	10600.0000	COMPLETED
2021/02/17	45	2700.0000	COMPLETED
2021/02/17	46	22250.0000	COMPLETED
2021/02/18	47	32850.0000	REFUNDED
2021/02/18	48	15900.0000	REFUNDED
2021/02/18	49	41250.0000	REFUNDED
2021/02/18	50	55300.0000	REFUNDED
2021/02/18	51	36400.0000	REFUNDED
2021/02/18	52	46700.0000	EXCHANGED
2021/02/18	53	24150.0000	EXCHANGED
2021/02/18	54	12500.0000	COMPLETED
2021/02/19	55	22350.0000	REFUNDED
2021/02/19	56	41600.0000	REFUNDED
2021/02/19	57	41600.0000	REFUNDED
2021/02/19	58	36400.0000	REFUNDED
2021/02/19	59	47600.0000	REFUNDED
2021/02/19	60	46200.0000	EXCHANGED
2021/02/19	61	11760.0000	COMPLETED
2021/02/19	62	18600.0000	COMPLETED
2021/02/19	63	9200.0000	COMPLETED
2021/02/19	64	38500.0000	COMPLETED
2021/02/19	65	9500.0000	COMPLETED
2021/02/19	66	37850.0000	COMPLETED
2021/02/19	67	20800.0000	COMPLETED
2021/02/19	68	74600.0000	EXCHANGED
2021/02/19	69	31050.0000	REFUNDED
2021/02/19	70	48000.0000	COMPLETED
